,MaterialNumber,SubstituteMaterialNumber,SubstitutionType
76328,FG3001,TRG300S,Similar Cross
76329,FG3002,BOS7250602,Direct Cross
76330,FG3002,BXT88TN03M,Direct Cross
76331,FG3002,CUR9315,Class of Trade Cross
76332,FG3002,FG100M,Similar Cross
76333,FG3002,HEQ2772912,Direct Cross
76334,FG3002,HEQ981,Direct Cross
76335,FG3002,HFAUF524M,Direct Cross
76336,FG3002,ICRTQ601M,Class of Trade Cross
76337,FG3002,ICRXC310M,Direct Cross
76338,FG3002,IHC173200,Direct Cross
76339,FG3002,IHC177202,Class of Trade Cross
76340,FG3002,IOF1126831,Class of Trade Cross
76341,FG3002,IOF1271025,Direct Cross
76342,FG3002,K-C43934,Direct Cross
76343,FG3002,K-C52818,Direct Cross
76344,FG3002,K-C55082,Class of Trade Cross
76345,FG3002,MDS195285,Class of Trade Cross
76346,FG3002,MDS6802,Class of Trade Cross
76347,FG3002,MG3002,Similar Cross
76348,FG3002,PRD6034302CS,Direct Cross
76349,FG3002,PRD6034312,Direct Cross
76350,FG3002,PRD6034512,Direct Cross
76351,FG3002,PRDUF524ML,Direct Cross
76352,FG3002,SEDSMNP303CS,Direct Cross
76353,FG3002,SQS5003,Direct Cross
76354,FG3002,TRG300M,Similar Cross
76355,FG3003,BOS7250603,Direct Cross
76356,FG3003,BXT88RT04L,Direct Cross
76357,FG3003,CUR9316,Class of Trade Cross
76358,FG3003,FG100L,Similar Cross
76359,FG3003,HEQ2772930,Direct Cross
76360,FG3003,HEQ982,Direct Cross
76361,FG3003,HFAN273,Direct Cross
76362,FG3003,HFAUF524L,Direct Cross
76363,FG3003,ICRXC310L,Direct Cross
76364,FG3003,IHC173300,Direct Cross
76365,FG3003,IHC177302,Class of Trade Cross
76366,FG3003,IOF1271026,Direct Cross
76367,FG3003,IOF1339205,Direct Cross
76368,FG3003,IOF3980139,Direct Cross
76369,FG3003,K-C43935,Direct Cross
76370,FG3003,K-C52819,Direct Cross
76371,FG3003,K-C55083,Class of Trade Cross
76372,FG3003,K-C55097,Class of Trade Cross
76373,FG3003,MDS195286,Class of Trade Cross
76374,FG3003,MDS6803,Class of Trade Cross
76375,FG3003,MG3003,Similar Cross
76376,FG3003,MGUMG5403,Direct Cross
76377,FG3003,PRD6034303CS,Direct Cross
76378,FG3003,PRD6034313,Direct Cross
76379,FG3003,PRD6034513,Direct Cross
76380,FG3003,SEDSMNP304CS,Direct Cross
76381,FG3003,SEDSMTN254,Class of Trade Cross
76382,FG3003,SQS5004,Direct Cross
76383,FG3003,SQS5044,Direct Cross
76384,FG3003,T-X925030,Class of Trade Cross
76385,FG3003,TRG300L,Similar Cross
76386,FG3004,BOS00NIB0314Z,Direct Cross
76387,FG3004,BOS7250604,Direct Cross
76388,FG3004,BXT8888DOTP,Class of Trade Cross
76389,FG3004,BXT88RT05XL,Direct Cross
76390,FG3004,CUR9317,Class of Trade Cross
76391,FG3004,FG100XL,Similar Cross
76392,FG3004,HEQ2772911,Direct Cross
76393,FG3004,HFAUF524XL,Direct Cross
76394,FG3004,ICRXC310XL,Direct Cross
76395,FG3004,IHC173350,Direct Cross
76396,FG3004,IHC177352,Class of Trade Cross
76397,FG3004,K-C41662,Class of Trade Cross
76398,FG3004,K-C43936,Direct Cross
76399,FG3004,K-C50709,Class of Trade Cross
76400,FG3004,K-C52820,Direct Cross
76401,FG3004,K-C55084,Class of Trade Cross
76402,FG3004,MDS195287,Class of Trade Cross
76403,FG3004,MDS6804,Class of Trade Cross
76404,FG3004,MG3004,Direct Cross
76405,FG3004,MGUMG5404,Direct Cross
76406,FG3004,PRD6034304,Direct Cross
76407,FG3004,PRD6034314,Direct Cross
76408,FG3004,PRD6034514,Direct Cross
76409,FG3004,SEDSMNP305CS,Direct Cross
76410,FG3004,SEDTTNF205,Class of Trade Cross
76411,FG3004,SQS5005,Direct Cross
76412,FG3004,TRG300XL,Similar Cross
76413,FGS11,000000000000484401,Similar Cross
76414,FGS11,BXTN8820,Direct Cross
76415,FGS11,IHC107100,Direct Cross
76416,FGS11,K-C52101,Direct Cross
76417,FGS11,MDS194134,Similar Cross
76418,FGS11,MDS198514,Similar Cross
76419,FGS11,SQS5072,Direct Cross
76420,FGS11,T-X9133STR10,Direct Cross
76421,FGS12,000000000000484402,Similar Cross
76422,FGS12,BXTN8821,Direct Cross
76423,FGS12,IHC107200,Direct Cross
76424,FGS12,IHC109200,Direct Cross
76425,FGS12,K-C52102,Direct Cross
76426,FGS12,K-C53131,Direct Cross
76427,FGS12,K-C55092,Direct Cross
76428,FGS12,MDS194135,Similar Cross
76429,FGS12,MDS194285,Similar Cross
76430,FGS12,MDS198515,Similar Cross
76431,FGS12,SQS5073,Direct Cross
76432,FGS12,SQS5083,Direct Cross
76433,FGS12,T-X9133STR20,Direct Cross
76434,FGS13,000000000000484403,Similar Cross
76435,FGS13,BXTN8822,Direct Cross
76436,FGS13,IHC107300,Direct Cross
76437,FGS13,K-C52103,Direct Cross
76438,FGS13,K-C53132,Direct Cross
76439,FGS13,K-C55093,Direct Cross
76440,FGS13,MDS194136,Similar Cross
76441,FGS13,MDS194286,Similar Cross
76442,FGS13,MDS198216,Similar Cross
76443,FGS13,MDS198516,Similar Cross
76444,FGS13,SQS5074,Direct Cross
76445,FGS13,T-X9133STR30,Direct Cross
76446,FGS14,BXTN8823,Direct Cross
76447,FGS14,IHC107350,Direct Cross
76448,FGS14,MDS198517,Similar Cross
76449,FGS14,SQS5085,Direct Cross
76450,FGS21,000000000000484405,Similar Cross
76451,FGS21,BXT88SNP02S,Direct Cross
76452,FGS21,HEQ2512,Direct Cross
76453,FGS21,HEQ63749,Direct Cross
76454,FGS21,IHC106100,Direct Cross
76455,FGS21,IHC108100,Direct Cross
76456,FGS21,IHC114100,Direct Cross
76457,FGS21,K-C53130,Direct Cross
76458,FGS21,MDS194034,Similar Cross
76459,FGS21,MDS198414,Similar Cross
76460,FGS21,SQS5082,Direct Cross
76461,FGS21,T-X9177STR10,Direct Cross
76462,FGS22,000000000000484406,Similar Cross
76463,FGS22,BXT88SNP03M,Direct Cross
76464,FGS22,HEQ1994,Direct Cross
76465,FGS22,IHC106200,Direct Cross
76466,FGS22,IHC108200,Direct Cross
76467,FGS22,IHC114200,Direct Cross
76468,FGS22,K-C53131,Direct Cross
76469,FGS22,K-C55092,Direct Cross
76470,FGS22,MDS194035,Similar Cross
76471,FGS22,MDS198415,Similar Cross
76472,FGS22,SQS5083,Direct Cross
76473,FGS22,T-X9177STR20,Direct Cross
76474,FGS23,000000000000484407,Similar Cross
76475,FGS23,IHC108300,Direct Cross
76476,FGS23,IHC114300,Direct Cross
76477,FGS23,K-C53132,Direct Cross
76478,FGS23,K-C55093,Direct Cross
76479,FGS23,MDS194036,Similar Cross
76480,FGS23,MDS198416,Similar Cross
76481,FGS23,SQS5084,Direct Cross
76482,FGS23,T-X9177STR30,Direct Cross
76483,FGS24,IHC106350,Direct Cross
76484,FGS24,IHC108350,Direct Cross
76485,FGS24,IHC114350,Direct Cross
76486,FGS24,MDS198417,Similar Cross
76487,FGS24,SQS5085,Direct Cross
76488,FHG10045AG,MSC9614EP,Direct Cross
76489,FHG20022,MSC2244EP,Direct Cross
76490,FHG20044,MSC2244EP,Direct Cross
76491,FHG20044AG,MSC9544EP,Direct Cross
76492,FHG20066,MSC2266EP,Direct Cross
76493,FHG30000H,MSC1200B,Direct Cross
76494,FHG30022,MSC28162B,Direct Cross
76495,FHG30033,MSCEX33EP,Direct Cross
76496,FHG30044,MSCEX44EP,Direct Cross
76497,FHG30044AG,MSC9544EP,Direct Cross
76498,FHG30044AG,MSC9744EP,Direct Cross
76499,FHG30066,MSCEX66EP,Direct Cross
76500,FHG30066AG,MSC9566EP,Direct Cross
76501,FHG30077S,MSCEX77EP,Direct Cross
76502,FHG30099S,MSCEX99EP,Direct Cross
76503,FHG316072050,OTC007950,Direct Cross
76504,FHG40022,MSC3222,Direct Cross
76505,FHG400410,MSC32410,Direct Cross
76506,FHG40066,MSC3266,Direct Cross
76507,FHG435701113,71923-300-13,Direct Cross
76508,FHG435770106,OTC005820,Similar Cross
76509,FHG435770106,OTC088206,Direct Cross
76510,FHG435770107,OTC088206,Direct Cross
76511,FHG435770115,OTC088215,Direct Cross
76512,FHG435770130,OTC088230,Direct Cross
76513,FHG435770150,OTC088206,Direct Cross
76514,FHG50022,MSC5422,Direct Cross
76515,FHG50044,MSC5444,Direct Cross
76516,FHG60012AG,MSC7312EP,Direct Cross
76517,FHG60022,MSC7322EP,Direct Cross
76518,FHG60022AG,MSC9922EP,Direct Cross
76519,FHG60044AG,EQX9045,Direct Cross
76520,FHG60044AG,FHG60045AG,Direct Cross
76521,FHG60045,MSC7344EP,Direct Cross
76522,FHG60045AG,FHG60044AG,Direct Cross
76523,FHG60045AG,MSC9945EP,Direct Cross
76524,FHG60066,MSC7312EP,Direct Cross
76525,FHG600660,MSC7366EP,Direct Cross
76526,FHG600660AG,MSC9966EP,Direct Cross
76527,FHG60088,MSC7366EP,Direct Cross
76528,FHG60088AG,MSC99812EP,Direct Cross
76529,FHG80045,MSC1244EP,Direct Cross
76530,FHG9001G,BOOMF2002,Direct Cross
76531,FII34016DRB,FII4016DPRDUP,Direct Cross
76532,FII4016DPRDUP,FII34016DRB,Direct Cross
76533,FIL94103,MIDFS0001,Direct Cross
76534,FIL94103,PTX92019,Direct Cross
76535,FIL94104,MIDFS0001,Direct Cross
76536,FIL94105,MIDFS0001,Direct Cross
76537,FIL94106,MIDFS0001,Direct Cross
76538,FIL94107,MIDFS0001,Direct Cross
76539,FIT23005A,AVK43616,Class of Trade Cross
76540,FIT23005A,AVK47932,Class of Trade Cross
76541,FIT23005A,BXT1205A,Direct Cross
76542,FIT23005A,BXT1205ACS,Direct Cross
76543,FIT23005A,BXT1430A,Direct Cross
76544,FIT23005A,BZA000021323,Direct Cross
76545,FIT23005A,BZA000021324,Direct Cross
76546,FIT23005A,COV1605R,Direct Cross
76547,FIT23005A,DDQNUU512,Direct Cross
76548,FIT23005A,FIT23MSM,Class of Trade Cross
76549,FIT23005A,FIT23WSM,Class of Trade Cross
76550,FIT23005A,FIT33005A,Class of Trade Cross
76551,FIT23005A,KDL1605,Direct Cross
76552,FIT23005A,MSC13005A,Direct Cross
76553,FIT23005A,MSC23005,Similar Cross
76554,FIT23005A,MSC33005,Direct Cross
76555,FIT23005A,PF512,Direct Cross
76556,FIT23005A,PHT915832,Class of Trade Cross
76557,FIT23005A,PPB2605,Direct Cross
76558,FIT23005A,PPB2975100,Direct Cross
76559,FIT23005A,PRKADUF20,Direct Cross
76560,FIT23005A,PRKAP0720,Direct Cross
76561,FIT23005A,PVS512,Direct Cross
76562,FIT23005A,PWC5121,Direct Cross
76563,FIT23005A,SME20AC2,Direct Cross
76564,FIT23005A,TDO250000041,Direct Cross
76565,FIT23005A,TNA54285,Class of Trade Cross
76566,FIT23005A,TNA72632,Direct Cross
76567,FIT23505A,AKV48124,Direct Cross
76568,FIT23505A,AVK47926,Class of Trade Cross
76569,FIT23505A,AVK48124,Direct Cross
76570,FIT23505A,BXT1615A,Direct Cross
76571,FIT23505A,BZA000021326,Direct Cross
76572,FIT23505A,BZA000021327,Direct Cross
76573,FIT23505A,COV1615R,Direct Cross
76574,FIT23505A,DDQNUU513,Direct Cross
76575,FIT23505A,DDQNUU513Z,Direct Cross
76576,FIT23505A,FIT23MLXL,Class of Trade Cross
76577,FIT23505A,FIT23WLXL,Class of Trade Cross
76578,FIT23505A,FIT33505A,Class of Trade Cross
76579,FIT23505A,GOMAP0730,Direct Cross
76580,FIT23505A,IDMTAUB23040,Direct Cross
76581,FIT23505A,KCD47926,Direct Cross
76582,FIT23505A,KCP47926,Class of Trade Cross
76583,FIT23505A,KCP48124,Direct Cross
76584,FIT23505A,KDL1215,Direct Cross
76585,FIT23505A,KDL1615CS,Direct Cross
76586,FIT23505A,MAY1615A,Direct Cross
76587,FIT23505A,MSC13505A,Direct Cross
76588,FIT23505A,MSC23505,Class of Trade Cross
76589,FIT23505A,MSC33505,Direct Cross
76590,FIT23505A,O-T000887574,Class of Trade Cross
76591,FIT23505A,PF513,Direct Cross
76592,FIT23505A,PF5131,Direct Cross
76593,FIT23505A,PHT915833,Direct Cross
76594,FIT23505A,PPB2606,Direct Cross
76595,FIT23505A,PPB2976100,Class of Trade Cross
76596,FIT23505A,PRKADUF30,Direct Cross
76597,FIT23505A,PRKAP0730,Direct Cross
76598,FIT23505A,PRKAP0730100,Direct Cross
76599,FIT23505A,PRKAP073080,Direct Cross
76600,FIT23505A,PVS513,Direct Cross
76601,FIT23505A,SLA18AC2,Direct Cross
76602,FIT23505A,TDO250000042,Direct Cross
76603,FIT23505A,TNA54286,Class of Trade Cross
76604,FIT23505A,TNA72633,Direct Cross
76605,FIT23600A,AVK47930,Class of Trade Cross
76606,FIT23600A,BXT1225A,Direct Cross
76607,FIT23600A,COV1625R,Direct Cross
76608,FIT23600A,DDQNUU514,Direct Cross
76609,FIT23600A,FIT33600A,Class of Trade Cross
76610,FIT23600A,KCD47930BG,Direct Cross
76611,FIT23600A,KDL1625,Direct Cross
76612,FIT23600A,MAY1625,Direct Cross
76613,FIT23600A,MSC13600A,Direct Cross
76614,FIT23600A,MSC33600,Direct Cross
76615,FIT23600A,PF514,Direct Cross
76616,FIT23600A,PF5141,Direct Cross
76617,FIT23600A,PHT915834,Direct Cross
76618,FIT23600A,PPB2607,Direct Cross
76619,FIT23600A,PPB2977100,Class of Trade Cross
76620,FIT23600A,PRKADUF40,Direct Cross
76621,FIT23600A,PRKAP0740,Direct Cross
76622,FIT23600A,PRKAP074080,Direct Cross
76623,FIT23600A,PVS514,Direct Cross
76624,FIT23600A,SXL14AC2,Direct Cross
76625,FIT23600A,TDO250000043,Direct Cross
76626,FIT23600A,TNA54287,Class of Trade Cross
76627,FIT23600A,TNA72634,Direct Cross
76628,FIT23600A,TNA81920,Class of Trade Cross
76629,FIT23MLXL,AVK47926,Direct Cross
76630,FIT23MLXL,AVK47930,Direct Cross
76631,FIT23MLXL,BXTUWMLXL18,Direct Cross
76632,FIT23MLXL,FIT23505A,Class of Trade Cross
76633,FIT23MLXL,KCD47926,Direct Cross
76634,FIT23MLXL,KCD50979,Direct Cross
76635,FIT23MLXL,KCD53745,Direct Cross
76636,FIT23MLXL,KCD53746,Direct Cross
76637,FIT23MLXL,KCD55157,Direct Cross
76638,FIT23MLXL,KCD55158,Direct Cross
76639,FIT23MLXL,KCD55427,Direct Cross
76640,FIT23MLXL,KCP47926,Direct Cross
76641,FIT23MLXL,KCP47930,Direct Cross
76642,FIT23MLXL,PFM513,Direct Cross
76643,FIT23MLXL,PFM514,Direct Cross
76644,FIT23MLXL,PRKADUM35,Direct Cross
76645,FIT23MLXL,PUM513-1,Direct Cross
76646,FIT23MLXL,PUM514,Direct Cross
76647,FIT23MLXL,TNA81920,Direct Cross
76648,FIT23MSM,AVK43616,Direct Cross
76649,FIT23MSM,FIT23005A,Class of Trade Cross
76650,FIT23MSM,KCD53748,Direct Cross
76651,FIT23MSM,KCD55426,Direct Cross
76652,FIT23MSM,KCP43616,Direct Cross
76653,FIT23MSM,KCP50976,Direct Cross
76654,FIT23MSM,PFM512,Direct Cross
76655,FIT23MSM,PRKADUM15,Direct Cross
76656,FIT23MSM,PUM512-1,Direct Cross
76657,FIT23MSM,TNA81780,Direct Cross
76658,FIT23WLXL,BXTUWFXL16,Direct Cross
76659,FIT23WLXL,FIT23505A,Class of Trade Cross
76660,FIT23WLXL,KCD53743,Direct Cross
76661,FIT23WLXL,KCD53744,Direct Cross
76662,FIT23WLXL,KCD54226CS,Direct Cross
76663,FIT23WLXL,KCD55424,Direct Cross
76664,FIT23WLXL,KCD55425,Direct Cross
76665,FIT23WLXL,O-T000887611,Direct Cross
76666,FIT23WLXL,PFW513,Direct Cross
76667,FIT23WLXL,PFW514,Direct Cross
76668,FIT23WLXL,PWC5131,Direct Cross
76669,FIT23WLXL,PWC5141,Direct Cross
76670,FIT23WLXL,TNA54286,Class of Trade Cross
76671,FIT23WLXL,TNA54287,Direct Cross
76672,FIT23WLXL,TNA73030,Class of Trade Cross
76673,FIT23WSM,AVK47915,Direct Cross
76674,FIT23WSM,AVK47932,Direct Cross
76675,FIT23WSM,BXTUWFSM20,Direct Cross
76676,FIT23WSM,FIT23005A,Class of Trade Cross
76677,FIT23WSM,KCD53741,Direct Cross
76678,FIT23WSM,KCD53742,Direct Cross
76679,FIT23WSM,KCD55412,Direct Cross
76680,FIT23WSM,KCD55418,Direct Cross
76681,FIT23WSM,KCP47915,Direct Cross
76682,FIT23WSM,KCP47932,Direct Cross
76683,FIT23WSM,O-T000887369,Direct Cross
76684,FIT23WSM,PFW512,Direct Cross
76685,FIT23WSM,TNA54285,Direct Cross
76686,FIT23WSM,TNA73020,Class of Trade Cross
76687,FIT33005A,AVK72232,Class of Trade Cross
76688,FIT33005A,FIT23005A,Class of Trade Cross
76689,FIT33005A,GOMAPP0720,Direct Cross
76690,FIT33005A,IDMPU2115,Direct Cross
76691,FIT33005A,MSC19005,Similar Cross
76692,FIT33005A,MSC33005,Similar Cross
76693,FIT33005A,MSC53005,Class of Trade Cross
76694,FIT33005A,PPB2105,Class of Trade Cross
76695,FIT33005A,PPB2115,Direct Cross
76696,FIT33005A,PRKAPP0720,Class of Trade Cross
76697,FIT33005A,TNA72232,Direct Cross
76698,FIT33005A,TNA72235,Direct Cross
76699,FIT33005A,TNA73030,Direct Cross
76700,FIT33005A,TNA73520,Direct Cross
76701,FIT33505A,AVK72332,Direct Cross
76702,FIT33505A,DUL72332,Direct Cross
76703,FIT33505A,FIT23505A,Class of Trade Cross
76704,FIT33505A,IDMPU2116,Direct Cross
76705,FIT33505A,IDMTAUB23040,Direct Cross
76706,FIT33505A,MSC19505,Similar Cross
76707,FIT33505A,MSC33505,Similar Cross
76708,FIT33505A,PPB2106,Class of Trade Cross
76709,FIT33505A,PPB2116,Direct Cross
76710,FIT33505A,PRKAPP0730,Direct Cross
76711,FIT33505A,TNA72325,Direct Cross
76712,FIT33505A,TNA72332,Direct Cross
76713,FIT33505A,TNA73530,Direct Cross
76714,FIT33505A,TNA81780,Class of Trade Cross
76715,FIT33600A,AVK43586CS,Direct Cross
76716,FIT33600A,AVK72425,Direct Cross
76717,FIT33600A,FIT23600A,Class of Trade Cross
76718,FIT33600A,IDMAUB23050,Direct Cross
76719,FIT33600A,KCP43586,Direct Cross
76720,FIT33600A,MSC19600,Similar Cross
76721,FIT33600A,MSC33600,Similar Cross
76722,FIT33600A,MSC53600,Direct Cross
76723,FIT33600A,PPB2107,Class of Trade Cross
76724,FIT33600A,PPB2108,Class of Trade Cross
76725,FIT33600A,PPB2117,Direct Cross
76726,FIT33600A,PRKAPP0740,Direct Cross
76727,FIT33600A,SQS7622CS,Direct Cross
76728,FIT33600A,SXL14AS1,Direct Cross
76729,FIT33600A,TNA72425,Direct Cross
76730,FIT33600A,TNA72427,Direct Cross
76731,FIT33600A,TNA73040,Class of Trade Cross
76732,FIT33600A,TNA73540,Class of Trade Cross
76733,FIT33600A,TNA81920,Class of Trade Cross
76734,FIT33600A,ULTRACAREXLG,Direct Cross
76735,FIT700A,BXT1560P,Direct Cross
76736,FIT700A,BZA000021329,Direct Cross
76737,FIT700A,GOMAU50,Direct Cross
76738,FIT700A,K-C53306,Direct Cross
76739,FIT700A,MSC23700,Direct Cross
76740,FIT700A,MSC33700,Direct Cross
76741,FIT700A,PF517,Direct Cross
76742,FIT700A,PF5171,Direct Cross
76743,FIT700A,PRKAU50,Direct Cross
76744,FIT700A,PUM517,Direct Cross
76745,FIT700A,PV-517,Direct Cross
76746,FIT700A,PV517,Direct Cross
76747,FIT700A,PWC517,Direct Cross
76748,FIT700A,SQS7623,Direct Cross
76749,FIT700A,TNA72508,Class of Trade Cross
76750,FIT700A,TNA72518,Direct Cross
76751,FIT700A,TZNS2X12AP1,Direct Cross
76752,FIT800,BZA000021330,Direct Cross
76753,FIT800,GOMAU60,Direct Cross
76754,FIT800,PPB2119,Direct Cross
76755,FIT800,PPB2609,Direct Cross
76756,FIT800,PRKAU60,Direct Cross
76757,FITBASICLG,BXT66134,Direct Cross
76758,FITBASICLG,FITEXTRALG,Direct Cross
76759,FITBASICLG,KDL60034CS,Direct Cross
76760,FITBASICLG,KDL66034CS,Direct Cross
76761,FITBASICLG,MAYCARD60034,Direct Cross
76762,FITBASICLG,PF013/1,Direct Cross
76763,FITBASICLG,PF0161,Direct Cross
76764,FITBASICLG,SQS7602,Direct Cross
76765,FITBASICLG,SQS7605,Direct Cross
76766,FITBASICLG,UMC200015,Value Cross
76767,FITBASICMD,BXT66133,Direct Cross
76768,FITBASICMD,FITEXTRAMD,Direct Cross
76769,FITBASICMD,FITPLUSMD,Direct Cross
76770,FITBASICMD,KDL60033,Direct Cross
76771,FITBASICMD,KDL65033,Direct Cross
76772,FITBASICMD,KDL66033,Direct Cross
76773,FITBASICMD,PF012-2,Direct Cross
76774,FITBASICMD,PRKBR20,Direct Cross
76775,FITBASICMD,PRKBRHC20,Direct Cross
76776,FITBASICMD,SQS7601,Direct Cross
76777,FITBASICMD,SQS7604,Direct Cross
76778,FITBASICXLG,BXT60045DP,Direct Cross
76779,FITBASICXLG,BXT66135,Direct Cross
76780,FITBASICXLG,CRB0142,Direct Cross
76781,FITBASICXLG,FITEXTRAXLG,Direct Cross
76782,FITBASICXLG,IDMFQCRB0142,Direct Cross
76783,FITBASICXLG,KDL60035CS,Direct Cross
76784,FITBASICXLG,KDL63015,Direct Cross
76785,FITBASICXLG,MAY60045,Direct Cross
76786,FITBASICXLG,MAYCARD60035,Direct Cross
76787,FITBASICXLG,MBP600701D30,Direct Cross
76788,FITBASICXLG,NU0141,Direct Cross
76789,FITBASICXLG,PF0141,Direct Cross
76790,FITBASICXLG,PPB2134,Direct Cross
76791,FITBASICXLG,SQS6633PP,Direct Cross
76792,FITBASICXLG,SQS7603,Direct Cross
76793,FITBASICXLG,SQS7606,Direct Cross
76794,FITBASICXXL,FITEXTRAXXL,Direct Cross
76795,FITBASICXXL,FITPLUSXXL,Direct Cross
76796,FITBASICXXL,KDL67093,Direct Cross
76797,FITBASICXXL,PRKDD50,Direct Cross
76798,FITBASICXXL,SQS7607,Direct Cross
76799,FITBCP01,BZA000021306,Direct Cross
76800,FITBCP01,TNA41309,Direct Cross
76801,FITBCP02,AVK62326,Direct Cross
76802,FITBCP02,CON26955,Direct Cross
76803,FITBCP02,KDL1130A,Direct Cross
76804,FITBCP02,KDL1530,Direct Cross
76805,FITBCP02,PV915,Direct Cross
76806,FITBCP02,TNA41509,Direct Cross
76807,FITBCP03,TNA47619,Direct Cross
76808,FITBCP03,TNA62550,Direct Cross
76809,FITEXTRALG,AVK35458,Direct Cross
76810,FITEXTRALG,BXT66134,Direct Cross
76811,FITEXTRALG,COV65034R,Direct Cross
76812,FITEXTRALG,COV77074,Direct Cross
76813,FITEXTRALG,DDQNU0132,Direct Cross
76814,FITEXTRALG,DDQPF0131,Direct Cross
76815,FITEXTRALG,FITBASICLG,Direct Cross
76816,FITEXTRALG,FITPLUSLG,Direct Cross
76817,FITEXTRALG,K-C35458,Direct Cross
76818,FITEXTRALG,KDL63064CS,Direct Cross
76819,FITEXTRALG,KDL65034,Direct Cross
76820,FITEXTRALG,KDL66034CS,Direct Cross
76821,FITEXTRALG,MAY65034,Direct Cross
76822,FITEXTRALG,MAY66034,Direct Cross
76823,FITEXTRALG,NU0131,Direct Cross
76824,FITEXTRALG,PF013,Direct Cross
76825,FITEXTRALG,PF013/1,Direct Cross
76826,FITEXTRALG,PF0161,Direct Cross
76827,FITEXTRALG,PPB2132,Class of Trade Cross
76828,FITEXTRALG,PPB2746,Direct Cross
76829,FITEXTRALG,PRKALIBR30,Direct Cross
76830,FITEXTRALG,PRKBRB30,Direct Cross
76831,FITEXTRALG,PRKDDA30,Direct Cross
76832,FITEXTRALG,PRKDDP30,Direct Cross
76833,FITEXTRALG,PRKDDP30100,Direct Cross
76834,FITEXTRALG,PRKDDP3080,Direct Cross
76835,FITEXTRALG,TDO250000033,Direct Cross
76836,FITEXTRALG,TNA67330,Direct Cross
76837,FITEXTRALG,TNA67430,Direct Cross
76838,FITEXTRALG,ULTRACARELG,Direct Cross
76839,FITEXTRAMD,AVK35456,Direct Cross
76840,FITEXTRAMD,COV77073,Direct Cross
76841,FITEXTRAMD,DDQNU0122,Direct Cross
76842,FITEXTRAMD,FITBASICMD,Direct Cross
76843,FITEXTRAMD,FITPLUSMD,Direct Cross
76844,FITEXTRAMD,FITULTRAMD,Direct Cross
76845,FITEXTRAMD,IDM48DDP20,Direct Cross
76846,FITEXTRAMD,K-C35456,Direct Cross
76847,FITEXTRAMD,KDL65033,Direct Cross
76848,FITEXTRAMD,KDL66033,Direct Cross
76849,FITEXTRAMD,MAY66033,Direct Cross
76850,FITEXTRAMD,NU012/1,Direct Cross
76851,FITEXTRAMD,PF012-2,Direct Cross
76852,FITEXTRAMD,PPB2745,Direct Cross
76853,FITEXTRAMD,PRKALIBR20,Direct Cross
76854,FITEXTRAMD,PRKBRB20,Direct Cross
76855,FITEXTRAMD,PRKBRHC20,Direct Cross
76856,FITEXTRAMD,PRKDDA20,Direct Cross
76857,FITEXTRAMD,PRKDDP20,Direct Cross
76858,FITEXTRAMD,PRKDDP20100,Direct Cross
76859,FITEXTRAMD,PRKDDP2080,Direct Cross
76860,FITEXTRAMD,TDO250000032,Direct Cross
76861,FITEXTRAMD,TNA67320,Direct Cross
76862,FITEXTRAMD,TNA67420,Direct Cross
76863,FITEXTRAMD,UMC200014,Direct Cross
76864,FITEXTRASM,BXT66032A,Direct Cross
76865,FITEXTRASM,BXT66132,Direct Cross
76866,FITEXTRASM,COV60031,Direct Cross
76867,FITEXTRASM,DMA1505CS,Class of Trade Cross
76868,FITEXTRASM,FITULTRASM,Direct Cross
76869,FITEXTRASM,KDL60032,Direct Cross
76870,FITEXTRASM,KDL63062,Direct Cross
76871,FITEXTRASM,MBH600SCBSPK,Direct Cross
76872,FITEXTRASM,MTB80200,Class of Trade Cross
76873,FITEXTRASM,PHT1655311,Direct Cross
76874,FITEXTRASM,PPB2112,Direct Cross
76875,FITEXTRASM,PPB2184,Direct Cross
76876,FITEXTRASM,PV011,Direct Cross
76877,FITEXTRASM,PV015,Class of Trade Cross
76878,FITEXTRASM,SQS7600CS,Direct Cross
76879,FITEXTRASM,TNA61199,Direct Cross
76880,FITEXTRASM,TNA66100,Direct Cross
76881,FITEXTRAXLG,COV65035R,Direct Cross
76882,FITEXTRAXLG,COV77075,Direct Cross
76883,FITEXTRAXLG,DDQNU0142,Direct Cross
76884,FITEXTRAXLG,FITBASICXLG,Direct Cross
76885,FITEXTRAXLG,FITPLUSXLG,Direct Cross
76886,FITEXTRAXLG,KDL60035CS,Class of Trade Cross
76887,FITEXTRAXLG,KDL65035,Direct Cross
76888,FITEXTRAXLG,KDL66035CS,Direct Cross
76889,FITEXTRAXLG,NU0141,Direct Cross
76890,FITEXTRAXLG,PF0141,Direct Cross
76891,FITEXTRAXLG,PRKBRB40,Direct Cross
76892,FITEXTRAXLG,PRKDDA40,Direct Cross
76893,FITEXTRAXLG,PRKDDP40,Direct Cross
76894,FITEXTRAXLG,PRKDDP4080,Direct Cross
76895,FITEXTRAXLG,SWD67035,Direct Cross
76896,FITEXTRAXLG,TDO250000034,Direct Cross
76897,FITEXTRAXLG,TNA61090,Direct Cross
76898,FITEXTRAXLG,TNA61390,Direct Cross
76899,FITEXTRAXLG,UMC200015,Direct Cross
76900,FITEXTRAXXL,COVV67093,Direct Cross
76901,FITEXTRAXXL,CRB017,Direct Cross
76902,FITEXTRAXXL,FITBASICXXL,Direct Cross
